Sender Name;Recipient Name;Amount
Wilbert Knuckles;Mary Frank;5052.97
Margarita Brunetto;Pat Coleman;62382.08
Carolyn Fields;Bertha Freeland;355.02
Dianne Riley;Juan Schad;10348.96
Meghan Calderon;Rebecca Myrick;1672.07
Dewey Hayes;Douglas Gaskin;52.64
Jacqueline Shockley;Amber Walker;9172.59
Travis Kannel;Ashley Ray;5139.72
Bonnie Castaneda;Gregory Cooney;4309.69
Peter Marlar;Charles Johnson;16749.71
Gary Coleman;John Tatum;69.27
Samuel Hasson;Clara Braun;16.54
Dewey Jackson;Mary Fischer;15599.66
Melanie Holohan;Robert Crowther;4945.42
Gerard Cunningham;Clarence Richard;2633.53
Megan Hernandez;Amy Sullivan;10538.83
Theodore Harrelson;Melissa Castro;24404.37
Lorraine White;Sophia Cook;625.94
Cheryl Miller;Samantha Hemp;78002.74
Esperanza Rehberg;Beatrice Burris;397.85
Martha Rousey;James Shick;347.31
Ana Light;Cynthia Hatch;2768.79
Sandra Taber;Carolina Warren;2954.21
Phyllis Reeder;Naomi Reiss;2523.28
Michael Echols;Melvin East;5308.22
Brent Lopez;Barbara Osborne;121099.63
Cory Paine;Eduardo Green;73680.96
Bobby Shutts;David Kramer;63245.56
Camille Ferguson;Brent Lopez;589.35
Leonard Boger;Judith Green;7800.63
Patricia Figueroa;Eloisa Cureton;4567.94
Diane Owens;Kenneth Hodge;4777.28
Mildred Gauss;Boyd Quick;3851.68
Kenny Flood;Mark Turpin;4978.04
Eric Yontz;Lore Perez;15222.75
Rebecca Myrick;Robert Hahn;6565.57
Kelly Murray;Jason Brown;738.8
Cecelia Leonelli;David Bathke;22008.45
Dennise Francis;Linda Smith;17644.72
Jeremy Dennison;Cheryl Price;16.98
Clyde Varela;Wanda Gambrill;1654.81
Louise Wilkerson;Alma Powell;2645.77
Hortencia Flowers;Patrice Paine;10453.91
Timothy Henry;Vickie Townsend;788.93
Emily Romo;Joseph Pugh;89057.03
Carmelo Middleton;Ricky Sullivan;296.43
Robert Melena;Teri Akers;5672.59
Bryan Loeffler;Karen Gaston;14920.46
John Larsen;Emmie Jenkins;1499.84
Loida Frix;Christopher Marshall;39552.5
Richard Williford;Tameka Bates;112.12
James Shick;Joseph Connors;1050.18
Corey Jackson;Larry James;3374.57
Ivy Lowenstein;Patricia Johnson;6679.3
Benjamin Webley;Lonnie Leeper;657558.1
Helen Easton;Robert Day;1247.34
Janet Jensen;Beatrice Corbett;940.1
Mathew Gonzales;Stephen Tucker;2210.55
Gregory Lee;Vincent Paxson;616.34
Daryl Silas;Leo Beaver;798.07
Tommie Haymes;Jim Weslowski;338.16
Edward Strahan;Robert Cadet;248.25
Filomena Biss;Julia Chavez;24832.1
Stephen Nichols;Jack Diaz;1739.7
Diana Beaty;Tony Conte;15367.24
Marion Greenlee;Robert Cadet;642.46
Mary Young;Bette Rubio;3742.76
Stacy Marinese;Kelly Lewis;760.1
Alfred Lambertson;Sarah Caldwell;3660.73
Louis Hogue;Randall Montoya;2496.96
Peggy Baran;Gene Peel;646.41
Amanda Schwartz;Ashley Garcia;3083.93
Herman Lozano;Juanita Jiles;75862.38
Elsie Holman;Michael Rebuck;599.99
Filomena Biss;Christina Reis;36589.66
Richard Hanson;Bessie Cohen;469.33
Brian Whitten;Joseph Mueller;15051.02
Roger Delgado;Bill Tunnell;111.47
Phyllis Battle;Joshua Pitts;17673.66
Richard Weilbacher;Charles Smith;230.96
Jo Mckeller;Edith Randall;724.95
Jimmy Torres;Alicia Mansfield;13973.65
Hazel Green;Deborah Cassano;4559.51
Ward Tartaglione;George Toney;501223.22
Patricia Stallworth;Leonard Boger;82420.21
Teresa Hogue;Charlie Miron;1885.12
Lora Hammonds;Robert Mcgraw;6089.09
Lois Seal;Alfred Mckeighan;131576.11
Cynthia Harkavy;Louis Godeaux;31.33
Shane Bradley;Marie Hayes;1799.7
Mary Hoover;Chase Tarnowski;16648.92
Felicia Curran;Robert Schrader;13958.55
Peggy Baran;Charles Johnson;8264.04
Nellie Carrere;Neal Bell;9607.96
Filomena Biss;Thelma Dignan;2501.97
Gayla Shinn;Billy Desmarais;652.2
Mabel Brand;Susanne Ellis;2528.36
Charles Smith;Lois Greenwood;9266.46
John Thurlow;James Reinhart;841.46
Tobias Ford;Annette Graham;3400.7
Steve Mei;Jack Bullock;4957.08
Katherine Mize;Robert Crowther;1056.66
Joseph Emery;Paul Padilla;423.8
Mary Young;Louise Wood;837.31
Robert Nelson;Angie Prater;1501.83
Charles Carrel;Nellie Eads;557.36
Monte Johnson;Adella Drouin;28356.01
Marion Greenlee;Marc Curtis;41437.7
Mary Freeman;Robert Trager;190.62
Kevin Muir;Jeremy Dennison;7750.33
Mia Reese;Brian Guess;301.6
David Herold;Melvin Branham;3632.3
Lawrence Majors;Lori Anderson;2101.65
Desmond Hahn;Gary Collins;7886.29
Melissa Reese;Judith Lamar;859.57
Gloria Paulus;Sharon Beall;5680.94
Patricia Tenebruso;William Causey;22245.41
Cindy Curry;Amanda Richardson;16625.6
Bernard Bradley;Janice Ball;3971.36
Christy Oliver;Leona Harris;487.31
Tim Broadnax;George Medlin;7592.19
Orlando Pargo;William Sheets;430.66
Jennifer Newlan;Robert Ellard;251.52
Rose Clark;Helen Beck;91.99
Leo Beaver;Michael Jones;76001.89
Brenda Ford;Billy Freehan;6918.12
Eric Mikolajczyk;Melva Wells;7065.03
Rita Kanagy;Michael Mintz;14899.49
Jose Dejesus;Mindi Neira;748.12
Rosemary Pickett;Patricia Whitchurch;71.12
Barbara Kelly;Cory Paine;25570.44
Christina Castillo;Mary Woods;436.19
Kristi Maloney;Timothy Hazzard;70821.34
Maurice Robinson;Kathy Orme;2305.17
David Valentine;Marylouise Ruffo;17121.02
Jessica Hendrix;John Foley;19279.32
John Thurlow;Anna Cutshall;780.03
Cecelia Leonelli;Cherise Orem;1049.16
Pearl Flaming;Richard Broglio;74143.98
Jack Valencia;Patrick Campbell;7769.41
Al Townsend;Kelsey Stevens;121.04
Michelle Jennings;Larry Mincy;2254.37
Chase Tarnowski;Richard Reed;2346.45
Willis Willbanks;Ronnie Barber;10691.23
George Watkins;Mary Bergesen;15348.21
Nadia Dreessen;Rigoberto Cupp;12149.17
Kathleen Brewton;Everette Cahee;7172.09
Amy Burks;Carolyn James;581.2
Carolyn Thompson;Michele Irwin;1347.62
Clarence Palmer;Barbara Dixon;2847.67
Jason Brown;Steven Curley;482.66
Jean Hopkins;Rex Badman;1021.75
Amy Buchanan;Chase Tarnowski;32155.01
Jimmy Sturrock;Julia Gunn;10788.46
Sandra Cardenas;Ralph Demello;1374.61
Andrew Mondragon;Paul Cleghorn;71.03
Gerald Bertsch;Jimmy Torres;3835.16
John Quincy;Clayton Coleman;314.31
Ethel Hughes;Timothy Marshall;16.37
Gary Coleman;Heidi Goguen;1450.47
Gayla Shinn;Clayton Daley;69.58
Cynthia Hatch;Joseph Pugh;6641.42
Peter Lunsford;Angie Prater;1331.66
Jeremy Alexander;Minerva Friedman;18788.36
Margaret Sodhi;Norma Westbrook;6684.85
Kenneth Payton;Mary Melvin;2559.61
Mary Henderson;Neal Bell;3873.46
William Soffer;Frank Murphy;46644.84
Cassandra Matthews;Dennis Koch;2637.24
Joanna Briscoe;Donna Lawson;10111.81
Thomas Hansen;Esperanza Rehberg;28251.97
David Allen;Laura Simmons;4348.79
Thelma Dignan;Shawn Rowland;16799.61
Dora Johnson;Dorothy Duffy;18334.34
Rodrigo Haith;Pamela Mclaughlin;28615.5
Jon Burns;Gayla Shinn;4218.75
James Mcwilliams;Linda Riker;867.93
Lesli Gunn;Richard Powell;39108.69
Jacob Schieber;Donald Petersik;174.6
Thomas Lewis;Michell Martin;183.42
Pearl Flaming;Sandra Forrest;1761.09
Charles Aguirre;Mary Rivera;2657.0
Allan Briggs;Paul Padilla;4449.27
Margaret Ison;Richard Williamson;1709.69
Paula Turner;David Ezell;8280.4
Luke Swanson;Gerald Wiener;6502.85
Bonnie Castaneda;Donna Gosa;8883.95
Mathew Gonzales;Lawrence Devane;15448.93
Holly Nelson;Kimberly Ramirez;12073.63
Arthur Lawson;Judy Moore;7634.05
Larry Cortez;Amber Walker;3824.23
Calvin Lucas;Javier Plourde;0.0
John Cunningham;Hortencia Flowers;111212.17
Anthony Popp;Cassie Lafollette;1412.69
Tonya Engen;Karen Barnes;4040.42
Wanda Wright;Anita James;222.93
Harold Cameron;Heather Lawrence;11237.9
Dora Gray;Lucas Scott;13131.25
David Hale;Lucia Gonzalez;4404.41
Otis Davis;David Hughes;84347.57
